"ids","historical"
2023330,1
6600694,1
6483471,1
6610413,1
8748235,1
6762792,1
1085461,1
3092952,1
6994748,1
5628255,1
7242314,1
5904767,1
3544598,1
9310889,1
3630838,1
8535648,1
3576004,1
3401382,1
2680501,1
3090028,1
3849505,1
3724233,1
2431410,1
1359962,1
2969190,1
8295366,1
5731264,1
9231898,1
8482082,1
1411931,1
5104809,1
3386671,1
3742040,1
5565745,1
2629859,1
7837009,1
2811225,1
3329278,1
9929316,1
8266139,1
5979980,1
6817628,1
3806405,1
6596346,1
3967917,1
5517954,1
7093819,1
5364898,1
3195347,1
7889100,1
1664015,1
3787163,1
7455408,1
5540886,1
2376982,1
5535373,1
5445620,1
7760758,1
2571838,1
8635481,1
8783452,1
1376712,1
3854619,1
1123748,1
3151216,1
7358405,1
3772832,1
5576894,1
1464816,1
6081089,1
2093313,1
9035464,1
1131644,1
8048032,1
1809645,1
5672670,1
4458370,1
1630467,1
3885774,1
7016405,1
9337530,1
5247149,1
2283526,1
5898382,1
2765555,1
9087148,1
4505464,1
3797809,1
2440243,1
9065592,1
2497529,1
9103739,1
2206691,1
2184514,1
1947577,1
5604203,1
3701762,1
1240449,1
3786796,1
7679003,1
1319106,1
6085627,1
3522291,1
2837745,1
2203636,1
3931103,1
2395541,1
2169645,1
4919732,1
1347779,1
7419635,1
1906910,1
9552638,1
2096346,1
2976884,1
9217684,1
9512568,1
3512373,1
2111225,1
8174349,1
7698405,1
9243657,1
9951262,1
9481130,1
5375158,1
3551100,1
3263879,1
5529232,1
5472631,1
3865971,1
9659880,1
6706811,1
2146883,1
4807366,1
9228729,1
5210067,1
9173398,1
6379607,1
6685598,1
8822304,1
5524678,1
9852577,1
3919428,1
5332305,1
4212832,1
6647208,1
7674293,1
6093618,1
9826933,1
6191228,1
4951312,1
3057362,1
1739410,1
8652254,1
3111915,1
9893353,1
6416984,1
9988510,1
4380335,1
5996051,1
4864926,1
6182807,1
4892496,1
3023575,1
1764848,1
6735579,1
4879075,1
1654432,1
8221483,1
3927449,1
7815472,1
6258343,1
7379432,1
4842708,1
4092094,1
7831947,1
4816197,1
6047886,1
2045201,1
3727141,1
5309137,1
4103412,1
6406317,1
1684735,1
9603757,1
1199857,1
8575239,1
6691863,1
3790789,1
7682983,1
6750080,1
9932454,1
2154403,1
8948985,1
8290593,1
8396500,1
8512160,1
7594445,1
9847201,1
6752714,1
6946659,1
5755128,1
3857380,1
7910543,1
5736669,1
7590566,1
3768928,1
4637475,1
2839579,1
9870491,1
6096677,1
3523317,1
2665462,1
7822391,1
6100910,1
9389361,1
6748101,1
7306581,1
5312897,1
8652621,1
4800883,1
1282522,1
3323262,1
4013527,1
2201917,1
5495805,1
8219039,1
4034302,1
5580169,1
5449833,1
8173292,1
6102499,1
1960246,1
8268647,1
6103875,1
2910118,1
7746036,1
3764892,1
5405549,1
9907152,1
4816880,1
3199568,1
2954159,1
7201890,1
9821675,1
5293180,1
7961522,1
6168674,1
9693217,1
8172116,1
5787012,1
6369464,1
3374911,1
3515813,1
1585912,1
6067588,1
3361133,1
1029540,1
6305496,1
5680325,1
